Date,Close/Last,Volume,Open,High,Low
04/14/2023,$28.18,60852,$28.95,$29.20,$28.12
04/13/2023,$28.91,57903,$28.73,$28.99,$28.59
04/12/2023,$28.66,54209,$29.21,$29.21,$28.615
04/11/2023,$28.92,57906,$28.82,$29.3191,$28.65
04/10/2023,$28.73,68946,$28.57,$29.045,$28.51
04/06/2023,$28.59,128103,$28.42,$28.68,$27.90
04/05/2023,$28.44,110552,$29.09,$29.30,$28.29
04/04/2023,$29.09,84929,$30.24,$30.24,$28.78
04/03/2023,$30.14,104353,$30.48,$30.89,$29.90
03/31/2023,$30.52,130416,$29.94,$30.54,$29.84
03/30/2023,$29.66,138021,$30.00,$30.30,$29.34
03/29/2023,$29.73,129657,$30.94,$31.08,$29.72
03/28/2023,$30.65,241696,$31.08,$31.40,$30.40
03/27/2023,$31.10,131838,$31.15,$31.27,$30.65
03/24/2023,$30.85,113127,$30.40,$30.87,$29.90
03/23/2023,$30.61,88228,$31.62,$31.86,$30.37
03/22/2023,$31.45,79146,$31.85,$32.16,$31.3955
03/21/2023,$31.93,72582,$31.99,$32.59,$31.80
03/20/2023,$31.58,84661,$31.84,$32.20,$31.34
03/17/2023,$31.65,140169,$32.13,$32.32,$31.34
03/16/2023,$32.21,78567,$31.39,$32.56,$31.03
03/15/2023,$31.82,119179,$31.30,$31.84,$31.0215
03/14/2023,$31.89,79594,$32.18,$32.76,$31.56
03/13/2023,$31.40,103447,$31.73,$32.065,$31.03
03/10/2023,$32.12,168016,$32.28,$32.38,$31.20
03/09/2023,$32.56,66317,$32.96,$33.27,$32.34
03/08/2023,$33.00,69494,$33.74,$33.87,$32.60
03/07/2023,$33.77,89948,$33.22,$33.85,$33.11
03/06/2023,$33.35,104321,$33.98,$34.03,$33.07
03/03/2023,$33.98,60168,$34.00,$34.14,$33.63
03/02/2023,$33.88,91746,$33.72,$34.13,$33.465
03/01/2023,$33.96,124000,$33.92,$34.51,$32.91
02/28/2023,$33.92,114674,$33.98,$34.34,$33.74
02/27/2023,$34.02,101272,$34.40,$34.76,$33.80
02/24/2023,$34.02,166891,$35.33,$35.33,$33.44
02/23/2023,$35.46,258799,$33.01,$35.99,$32.80
02/22/2023,$33.01,85608,$32.94,$33.23,$32.0315
02/21/2023,$32.69,131290,$33.06,$33.71,$32.51
02/17/2023,$33.48,90566,$33.98,$34.23,$33.39
02/16/2023,$33.85,92206,$33.85,$34.18,$33.46
02/15/2023,$34.29,120927,$32.77,$34.32,$32.77
02/14/2023,$32.73,77979,$32.38,$32.98,$32.31
02/13/2023,$32.50,82823,$31.66,$32.53,$31.55
02/10/2023,$31.62,74754,$30.76,$31.71,$30.62
02/09/2023,$30.68,73831,$31.68,$31.81,$30.645
02/08/2023,$31.40,67818,$32.13,$32.13,$31.265
02/07/2023,$32.20,69844,$32.39,$32.39,$31.71
02/06/2023,$32.49,124025,$32.67,$32.975,$32.165
02/03/2023,$32.66,106431,$32.34,$33.11,$32.10
02/02/2023,$32.70,63643,$32.78,$33.09,$32.37
02/01/2023,$32.41,76341,$32.49,$32.87,$31.845
01/31/2023,$32.42,89283,$31.22,$32.46,$31.22
01/30/2023,$31.10,63426,$31.14,$31.35,$30.68
01/27/2023,$31.29,39754,$31.41,$31.6699,$31.19
01/26/2023,$31.49,48032,$31.00,$31.53,$30.70
01/25/2023,$30.85,47721,$30.70,$30.85,$30.34
01/24/2023,$30.85,98668,$31.73,$31.73,$30.71
01/23/2023,$30.65,68057,$30.72,$31.23,$30.37
01/20/2023,$30.57,63509,$30.61,$30.765,$30.11
01/19/2023,$30.37,52384,$29.76,$30.48,$29.51
01/18/2023,$30.11,53969,$30.76,$30.90,$30.06
01/17/2023,$30.56,77564,$30.33,$31.2432,$30.33
01/13/2023,$30.27,74651,$30.08,$30.44,$29.795
01/12/2023,$30.21,68553,$30.72,$30.72,$30.06
01/11/2023,$30.36,58068,$30.33,$30.75,$30.06
01/10/2023,$30.23,62807,$29.00,$30.29,$29.00
01/09/2023,$29.27,82537,$30.09,$30.319,$29.25
01/06/2023,$30.03,67423,$29.26,$30.30,$29.08
01/05/2023,$28.94,139026,$29.07,$29.1499,$28.345
01/04/2023,$29.13,82728,$28.72,$29.33,$28.56
01/03/2023,$28.56,161646,$27.60,$28.62,$27.60
12/30/2022,$27.54,85924,$27.54,$27.89,$27.345
12/29/2022,$27.63,75660,$27.18,$27.70,$27.01
12/28/2022,$27.20,135788,$27.19,$27.715,$27.10
12/27/2022,$27.14,52903,$27.51,$27.51,$26.85
12/23/2022,$27.47,87747,$27.00,$27.71,$27.00
12/22/2022,$27.30,89399,$26.95,$27.30,$26.43
12/21/2022,$27.17,134114,$26.95,$27.675,$26.95
12/20/2022,$26.96,176691,$26.49,$27.29,$26.15
12/19/2022,$26.65,157927,$27.51,$27.51,$26.48
12/16/2022,$27.61,340750,$25.78,$27.84,$25.76
12/15/2022,$25.82,153588,$25.64,$26.05,$25.05
12/14/2022,$25.87,184808,$26.29,$26.90,$25.63
12/13/2022,$26.35,275359,$25.11,$26.79,$25.044
12/12/2022,$24.21,77859,$24.48,$24.48,$24.03
12/09/2022,$24.52,67913,$24.40,$25.24,$24.18
12/08/2022,$24.44,88412,$25.04,$25.27,$24.17
12/07/2022,$25.04,137643,$24.46,$25.185,$24.44
12/06/2022,$24.52,102122,$24.51,$24.56,$24.15
12/05/2022,$24.52,120310,$25.01,$25.14,$24.28
12/02/2022,$25.01,143878,$24.83,$25.74,$24.26
12/01/2022,$24.79,169007,$25.14,$25.1951,$23.75
11/30/2022,$25.15,145120,$23.70,$25.20,$22.86
11/29/2022,$23.69,73991,$24.02,$24.165,$23.60
11/28/2022,$23.94,84525,$24.20,$24.21,$23.65
11/25/2022,$24.21,51102,$24.02,$24.64,$23.91
11/23/2022,$24.14,48886,$24.03,$24.36,$23.82
11/22/2022,$23.95,54895,$23.98,$24.31,$23.6575
11/21/2022,$23.88,85460,$24.15,$24.21,$23.41
11/18/2022,$24.07,79366,$25.21,$25.21,$23.911
11/17/2022,$24.79,53911,$24.54,$25.15,$24.50
